inverter_sn,date,ac_power,ac_energy_total,ac_energy_today,temperature,dc_1_voltage,dc_1_current,dc_2_voltage,dc_2_current,dc_3_voltage,dc_3_current,dc_4_voltage,dc_4_current,ac_frequency,ac_r_voltage,ac_r_current,ac_s_voltage,ac_s_current,ac_t_voltage,ac_t_current,ac_power_ratio,ac_power_limit_factor,error_description,error_category
123456789B987654,2023-01-04 16:27:52,20,11,1.5,26.1,293.9,0.2,293.8,0.2,0,0,0,0,49.98,226.9,0.7,235.8,0.6,226.4,0.7,110,1,,
123456789B987654,2023-01-04 16:22:52,20,11,1.5,26.1,297.8,0.2,297.8,0.2,0,0,0,0,49.96,231,0.6,235.6,0.7,225.1,0.7,110,1,,
123456789B987654,2023-01-04 16:17:52,40,11,1.5,25.6,301.9,0.3,293.8,0.3,0,0,0,0,49.98,229,0.6,236.4,0.6,226,0.7,110,1,,
123456789B987654,2023-01-04 16:12:52,50,11,1.5,25.2,299.9,0.3,299.7,0.3,0,0,0,0,49.98,230.9,0.7,237.1,0.7,227.6,0.7,110,1,,
123456789B987654,2023-01-04 16:07:52,60,11,1.5,25.4,296.1,0.3,299.9,0.3,0,0,0,0,50.01,227.3,0.7,234.7,0.6,226.2,0.7,110,1,,
123456789B987654,2023-01-04 16:02:52,70,11,1.5,25.8,295.9,0.3,299.8,0.3,0,0,0,0,50.04,231.7,0.6,237.4,0.6,228.1,0.7,110,1,,
123456789B987654,2023-01-04 15:57:52,80,11,1.5,26,296,0.3,295.8,0.3,0,0,0,0,49.99,229.9,0.7,236.2,0.7,227.9,0.7,110,1,,
123456789B987654,2023-01-04 15:52:52,110,11,1.5,26.6,299.7,0.4,303.7,0.3,0,0,0,0,49.99,230.5,0.7,234.2,0.7,224.5,0.7,110,1,,
123456789B987654,2023-01-04 15:47:51,100,11,1.5,26.6,295.7,0.4,291.5,0.4,0,0,0,0,49.98,230.8,0.7,237.5,0.7,227,0.7,110,1,,
123456789B987654,2023-01-04 15:42:52,120,11,1.5,26.4,301.8,0.4,297.7,0.4,0,0,0,0,49.98,227.2,0.7,237.1,0.7,226.9,0.7,110,1,,
